    68    0.44406E+00    0.22997E+00    0.28321E+00    0.69957E+00    0.30184E+01    0.00000E+00    0.30184E+01    0.75017E+00    0.69957E+00    0.44075E+03    0.58806E+00
   105    0.39937E+00    0.35144E+00    0.29892E+00    0.76635E+00    0.31769E+01    0.00000E+00    0.31769E+01    0.12730E+01    0.76635E+00    0.12906E+03    0.17219E+00
   126    0.44504E+00    0.99142E-01    0.00000E+00    0.69675E+00    0.30179E+01    0.00000E+00    0.30179E+01    0.73890E+00    0.69675E+00    0.74950E+03    0.10000E+01
   131    0.43334E+00    0.24728E+00    0.34003E+00    0.72633E+00    0.30324E+01    0.00000E+00    0.30324E+01    0.87473E+00    0.72633E+00    0.13779E-01    0.18384E-04
   132    0.41447E+00    0.30184E+00    0.33202E+00    0.75643E+00    0.30948E+01    0.00000E+00    0.30948E+01    0.10968E+01    0.75643E+00    0.33253E+03    0.44367E+00
   133    0.39543E+00    0.23542E+00    0.24717E+00    0.76709E+00    0.32028E+01    0.00000E+00    0.32028E+01    0.13184E+01    0.76709E+00    0.30576E+02    0.40796E-01
   142    0.43202E+00    0.32036E+00    0.30961E+00    0.72913E+00    0.30352E+01    0.00000E+00    0.30352E+01    0.89023E+00    0.72913E+00    0.17695E+03    0.23609E+00
   144    0.41533E+00    0.35614E+00    0.45142E+00    0.75550E+00    0.30909E+01    0.00000E+00    0.30909E+01    0.10867E+01    0.75550E+00    0.74950E+03    0.10000E+01
   149    0.40114E+00    0.17932E+00    0.32481E+00    0.76579E+00    0.31659E+01    0.00000E+00    0.31659E+01    0.12525E+01    0.76579E+00    0.30934E+03    0.41273E+00
   154    0.40671E+00    0.10704E+00    0.11196E+00    0.76299E+00    0.31336E+01    0.00000E+00    0.31336E+01    0.11878E+01    0.76299E+00    0.62256E+03    0.83064E+00
   162    0.40504E+00    0.18791E+00    0.31698E+00    0.76399E+00    0.31429E+01    0.00000E+00    0.31429E+01    0.12072E+01    0.76399E+00    0.80786E+02    0.10779E+00
   165    0.39593E+00    0.23048E+00    0.43342E+00    0.76704E+00    0.31994E+01    0.00000E+00    0.31994E+01    0.13127E+01    0.76704E+00    0.16875E+03    0.22515E+00
   167    0.39913E+00    0.37787E+00    0.41968E+00    0.76642E+00    0.31785E+01    0.00000E+00    0.31785E+01    0.12758E+01    0.76642E+00    0.50463E+03    0.67328E+00
   170    0.44276E+00    0.21133E+00    0.18910E+00    0.70322E+00    0.30192E+01    0.00000E+00    0.30192E+01    0.76517E+00    0.70322E+00    0.16445E+03    0.21941E+00
   171    0.44343E+00    0.38591E+00    0.30665E+00    0.70134E+00    0.30187E+01    0.00000E+00    0.30187E+01    0.75736E+00    0.70134E+00    0.84449E+02    0.11267E+00
   172    0.40000E+00    0.19550E+00    0.27547E+00    0.76617E+00    0.31730E+01    0.00000E+00    0.31730E+01    0.12657E+01    0.76617E+00    0.74950E+03    0.10000E+01
   175    0.44374E+00    0.23969E+00    0.28989E+00    0.70048E+00    0.30185E+01    0.00000E+00    0.30185E+01    0.75384E+00    0.70048E+00    0.74950E+03    0.10000E+01
   178    0.40054E+00    0.22960E+00    0.14558E+00    0.76599E+00    0.31696E+01    0.00000E+00    0.31696E+01    0.12594E+01    0.76599E+00    0.18516E+03    0.24705E+00
